district,tehsil,block,panchayat,old_age,widow,disability,total
Udham Singh Nagar,Sitarganj,Sitarganj,Pandari,414,124,60,598
Udham Singh Nagar,Sitarganj,Sitarganj,Pindari,29,12,3,44
Udham Singh Nagar,Sitarganj,Sitarganj,Pipaliya,42,6,2,50
Udham Singh Nagar,Sitarganj,Sitarganj,Pipaliya Pistor,371,92,36,500
Udham Singh Nagar,Sitarganj,Sitarganj,Rajnagar,364,76,26,466
Udham Singh Nagar,Sitarganj,Sitarganj,Rudpur,665,116,21,803
Udham Singh Nagar,Sitarganj,Sitarganj,Sadhu Nagar,229,72,21,323
Udham Singh Nagar,Sitarganj,Sitarganj,salmata,33,8,3,44
Udham Singh Nagar,Sitarganj,Sitarganj,Saraunja,271,61,36,368
Udham Singh Nagar,Sitarganj,Sitarganj,Sarkara,242,57,18,317
Udham Singh Nagar,Sitarganj,Sitarganj,Siddhanavadiya,234,90,20,345
Udham Singh Nagar,Sitarganj,Sitarganj,Sisaiya,281,80,30,394
Udham Singh Nagar,Sitarganj,Sitarganj,Sisona,455,149,32,640
Udham Singh Nagar,Sitarganj,Sitarganj,Sunkharikala,256,77,38,372
Udham Singh Nagar,Sitarganj,Sitarganj,Taigornagar,439,124,24,587
Udham Singh Nagar,Sitarganj,Sitarganj,Tharutisaur,190,80,19,289
Udham Singh Nagar,Sitarganj,Sitarganj,Tiliyapur,374,97,25,503
Udham Singh Nagar,Sitarganj,Sitarganj,Trukatisaur,33,10,,43
Udham Singh Nagar,Sitarganj,Sitarganj,Tukadi,488,105,63,656
Udham Singh Nagar,Sitarganj,Sitarganj,Ukrauli,19,9,2,30
Udham Singh Nagar,Sitarganj,Sitarganj,Viriya,36,6,3,45
